FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
2001,(R4),RES SINGLE FAMILY OVERLAY,RESIDENTIAL,9156.83947631,934295.406212,8.92715761e-06,0.02589595907153
2002,OR1,OFFICE/RES,OFFICE,729.024706527,22957.8017516,2.19368852e-07,0.00237921109981
2003,OR1,OFFICE/RES,OFFICE,868.640618235,43178.5719297,4.12583603e-07,0.002734268930427
2004,R7,RES MULTI-FAMILY,RESIDENTIAL,1746.35625864,140079.11828,1.338775759e-06,0.005326588742743
2005,R7,RES MULTI-FAMILY,RESIDENTIAL,568.500619563,20335.2430461,1.94349312e-07,0.001777632231657
2006,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1582.50543067,143023.6177,1.36688282e-06,0.004966953756861
2007,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1911.60466425,204257.57235,1.952104895e-06,0.006042207779633
2008,R7,RES MULTI-FAMILY,RESIDENTIAL,1932.47846798,230780.066747,2.205607877e-06,0.006023880442612
2009,M2,INDUSTRIAL,INDUSTRIAL,5790.85632184,741636.056389,7.087557938e-06,0.018692350680601
2010,R7,RES MULTI-FAMILY,RESIDENTIAL,2157.72639089,127097.493088,1.214676025e-06,0.006737012609838
2011,OR1,OFFICE/RES,OFFICE,1640.30584701,157670.59358,1.506844854e-06,0.005067357790531
2012,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2560.49039194,409146.62678,3.910223098e-06,0.007908558554281
2013,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1610.0740821,124905.89746,1.193687518e-06,0.00506717098933
2014,M1,INDUSTRIAL,INDUSTRIAL,2111.05677991,249920.89404,2.38840654e-06,0.006328897096799
2015,OR3,OFFICE/RES,OFFICE,1739.46940422,130238.89142,1.244651383e-06,0.005394185330241
2016,R7,RES MULTI-FAMILY,RESIDENTIAL,1282.16469699,85601.7055219,8.18080937e-07,0.003835140498534
2017,R7,RES MULTI-FAMILY,RESIDENTIAL,4460.04981867,962174.38369,9.195173078e-06,0.014187030836836
2018,OR3,OFFICE/RES,OFFICE,2311.34980434,247960.210686,2.369712055e-06,0.007032375655896
2019,OR1,OFFICE/RES,OFFICE,1063.61567877,65337.7480156,6.24419149e-07,0.00327976322127
2020,OR3,OFFICE/RES,OFFICE,1365.45218633,104461.12358,9.98319312e-07,0.004192125145077
2021,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2396.31593517,340078.13321,3.250034684e-06,0.007396688111858
